ID,Shape,Tot
0,None,5383
1,Disk,6739
2,Formation,3991
3,Unknown,8173
4,Changing,3094
5,Light,24291
6,Rectangle,2063
7,Cigar,2973
8,Oval,5141
9,Sphere,7798
10,Circle,12873
11,Diamond,1685
12,Triangle,10851
13,Cylinder,1938
14,Fireball,8391
15,Other,8014
16,Egg,987
17,Teardrop,1009
18,Chevron,1416
19,Flash,2001
20,Cone,455
21,Cross,404
22,Shape,49
23,Star,77
24,Delta,30
